word,count
will,197
invest,152
money,93
property,83
spend,80
&,72
buy,55
amount,53
family,53
investment,50
future,49
house,49
gold,39
deposit,38
lakh,38
fund,37
plan,37
50%,36
purchase,33
business,31
bank,30
fixed,30
new,28
/,26
10%,26
lottery,26
25%,25
education,25
crore,24
fd,24
mutual,24
1,23
child,23
first,23
remaining,23
home,22
lac,22
loan,22
rest,21
20%,20
part,18
save,18
10,17
land,17
car,16
charity,16
put,16
return,16
go,15
help,15
long,15
term,15
tour,15
keep,14
need,14
pay,14
spending,14
start,14
dream,13
income,13
won,13
donate,12
estate,12
give,12
market,12
needy,12
real,12
secure,12
stock,12
travel,12
use,12
buying,11
half,11
parent,11
saving,11
25,10
50,10
financial,10
good,10
insurance,10
make,10
people,10
poor,10
share,10
tax,10
world,10
30,9
different,9
equity,9
f.d,9
firstly,9
life,9
win,9
30%,8
fulfill,8
one,8
place,8
purpose,8
small,8
thing,8
15,7
15%,7
70%,7
aside,7
debt,7
etc,7
flat,7
investing,7
open,7
pension,7
personal,7
regular,7
retirement,7
vacation,7
asset,6
interest,6
option,6
scheme,6
security,6
social,6
society,6
travelling,6
want,6
welfare,6
20,5
75%,5
@,5
activity,5
cash,5
daughter,5
due,5
expense,5
foreign,5
invested,5
leisure,5
liability,5
liquid,5
luxury,5
mf,5
spent,5
startup,5
take,5
tomorrow,5
trip,5
used,5
vehicle,5
well,5
+,4
5,4
5%,4
80%,4
amt,4
another,4
create,4
deposite,4
earn,4
entire,4
explore,4
fix,4
kid,4
love,4
making,4
medical,4
monthly,4
nan,4
near,4
old,4
per,4
proper,4
proportion,4
requirement,4
risk,4
safe,4
second,4
source,4
way,4
winning,4
wish,4
work,4
year,4
₹,4
!,3
3,3
30l,3
35%,3
40,3
abroad,3
age,3
area,3
around,3
avenue,3
balance,3
better,3
bhk,3
build,3
cause,3
clear,3
comfort,3
commercial,3
complete,3
current,3
daily,3
daughter's,3
divide,3
earning,3
either,3
family's,3
fds,3
friend,3
gain,3
going,3
govt,3
hand,3
happy,3
health,3
helping,3
housing,3
i.e,3
indian,3
inr,3
kept,3
left,3
lifestyle,3
manner,3
member,3
never,3
ngo,3
orphanage,3
others,3
pending,3
person,3
ppf,3
product,3
provide,3
purchasing,3
rather,3
rent,3
repay,3
school,3
